None,None,None,
Cookie Clicker,"1 Sep, 2021","Overall user reviews:
Overwhelmingly Positive
						(29,671 reviews)","Clicker, Idler, Casual, Indie, Psychological Horror, Pixel Graphics, Collectathon, Management, Economy, Building, Funny, Strategy, Memes, Life Sim, Resource Management, Simulation, 2D, Comedy, Colorful, Touch-Friendly"
Clicker Heroes,"13 May, 2015","Overall user reviews:
Very Positive
						(57,278 reviews)","Clicker, Free to Play, Casual, Singleplayer, 2D, Indie, Funny, Addictive, RPG, Adventure, Fantasy, Family Friendly, Strategy, Simulation, Multiplayer, Touch-Friendly, Idler, Management, Action, Illuminati"
Idle Champions of the Forgotten Realms,"25 Mar, 2020","Overall user reviews:
Very Positive
						(10,025 reviews)","Idler, Free to Play, Clicker, Dungeons & Dragons, Strategy, Adventure, Early Access, Indie, Fantasy, Action, Singleplayer, Casual, Multiplayer, RPG, 2D, Dungeon Crawler, Loot, Magic, Sexual Content"
Grim Clicker,"9 Jan, 2020","Overall user reviews:
Very Positive
						(1,999 reviews)","Clicker, Idler, RPG, Free to Play, 2D, Singleplayer, Indie, Side Scroller, Inventory Management, Casual, Souls-like, Strategy, Pixel Graphics, Automation, Character Customization, Fantasy, Hack and Slash, Action, Early Access, Dark Fantasy"
Shakes and Fidget,"24 Feb, 2016","Overall user reviews:
Very Positive
						(25,507 reviews)","Free to Play, RPG, Casual, Massively Multiplayer, Multiplayer, Adventure, Strategy, Clicker, MMORPG, Fantasy, Character Customization, Indie, Comedy, Medieval, Singleplayer, Funny, Classic, Dark Humor, Story Rich, Cult Classic"
Clicker Heroes: Zombie Auto Clicker,"24 Oct, 2016","Overall user reviews:
Positive
						(20 reviews)","Casual, Clicker, Free to Play, RPG, Indie, Strategy, Adventure, Simulation"
Achievement Clicker,"17 Nov, 2017","Overall user reviews:
Very Positive
						(1,779 reviews)","Casual, Indie, Clicker, Simulation, Strategy, Action, Adventure"
Poop Clicker,"25 Mar, 2022","Overall user reviews:
Mixed
						(26 reviews)","Casual, Simulation, Point & Click, Arcade, Farming Sim, 2D Platformer, Idler, Clicker, 2D, Top-Down, Cute, Colorful, Atmospheric, Family Friendly, Drama, Economy, Automation, Time Manipulation, Linear, Score Attack"
Sakura Clicker,"29 Jul, 2015","Overall user reviews:
Very Positive
						(14,832 reviews)","Nudity, Anime, Free to Play, Sexual Content, Mature, Clicker, Female Protagonist, Singleplayer, Casual, Indie, Hentai, NSFW, Fantasy, 2D, Memes, Funny, Dating Sim, RPG, Adventure, Story Rich"
Pickle Clicker,"3 May, 2022","Overall user reviews:
Positive
						(37 reviews)","Clicker, Idler, 2D, Casual, Singleplayer, Indie, Early Access, Free to Play"
Insanity Clicker,"7 Jun, 2016","Overall user reviews:
Mixed
						(2,669 reviews)","Free to Play, Clicker, Horror, Casual, RPG, Adventure, Indie, Simulation, Strategy, Nudity, Multiplayer, Gore, Action, Singleplayer, Psychological Horror, Zombies, Female Protagonist, Sexual Content, Co-op, Memes"
Dungeon Clicker,"25 Aug, 2021","Overall user reviews:
Mixed
						(27 reviews)","Early Access, Singleplayer, Clicker, Point & Click, Indie, Soundtrack, Idler, RPG, Time Management, Strategy, Action, Casual, Fantasy, 3D, Funny, Arcade, Management, Resource Management, Character Customization, Adventure"
Crush Crush,"18 Oct, 2016","Overall user reviews:
Very Positive
						(20,604 reviews)","Sexual Content, Free to Play, Nudity, Anime, Dating Sim, Clicker, Mature, Hentai, Cute, Singleplayer, Casual, Romance, Visual Novel, Funny, Comedy, Memes, Indie, Female Protagonist, Resource Management, Psychological Horror"
Hardbass Clicker,"1 Jul, 2020","Overall user reviews:
Positive
						(10 reviews)","Casual, Clicker, Idler, 2D, Realistic, Funny, Singleplayer"
Ravenous Devils,"29 Apr, 2022","Overall user reviews:
Very Positive
						(1,638 reviews)","Management, Cooking, Villain Protagonist, Resource Management, Crime, Gore, Horror, Clicker, Time Management, Dark Comedy, Violent, Economy, Farming Sim, Simulation, Singleplayer, Dark Humor, 2.5D, Relaxing, Controller, Casual"
Clicker Heroes 2,"16 Jul, 2018","Overall user reviews:
Mixed
						(1,978 reviews)","Clicker, Casual, Indie, RPG, Adventure, Strategy, Simulation, Action, Early Access, Singleplayer, Idler, Great Soundtrack, Management, Family Friendly, Fantasy, Strategy RPG, Cinematic"
Kingdom Clicker,"30 Mar, 2018","Overall user reviews:
Mixed
						(26 reviews)","Indie, Casual, Clicker"
Crafting Idle Clicker,"4 Jun, 2020","Overall user reviews:
Mixed
						(536 reviews)","Free to Play, Casual, Indie, Strategy, Simulation, Clicker, Idler, Crafting"
Achievement Clicker,"11 Feb, 2020","Overall user reviews:
Mixed
						(36 reviews)","Casual, Clicker, Idler, Singleplayer, Family Friendly, Relaxing, 2D, Indie, Pixel Graphics"
Minds Beneath Us,TBA,None,"Choices Matter, Cyberpunk, Cinematic, Dystopian , Clicker, Atmospheric, Multiple Endings, RPG, Story Rich, Adventure, Drama, Futuristic, Hand-drawn, Side Scroller, Word Game, Interactive Fiction, 2.5D, Indie, Singleplayer"
Dog Clicker,"14 Mar, 2022","Overall user reviews:
Mixed
						(27 reviews)","Adventure, Indie, Casual, Arcade, Clicker, 2D, Dog, Free to Play, Singleplayer"
Starship Clicker,"30 Nov, 2017","Overall user reviews:
Mixed
						(14 reviews)","Indie, Casual, Clicker"
Campaign Clicker,"5 Oct, 2016","Overall user reviews:
Mixed
						(391 reviews)","Free to Play, Clicker, Indie, Casual, Politics, Pixel Graphics, Funny"
Clicker Guild,"16 Dec, 2016","Overall user reviews:
Mixed
						(616 reviews)","Free to Play, Clicker, Casual"
Critter Clicker,"4 Oct, 2020","Overall user reviews:
Mixed
						(81 reviews)","Idler, Casual, Clicker, Farming Sim, Strategy, Pixel Graphics, Resource Management, Building, Free to Play, Automation, Indie, Simulation, Singleplayer, 2D"
Defense Clicker,"31 Oct, 2017","Overall user reviews:
Mixed
						(127 reviews)","Casual, Strategy, Early Access, Tower Defense, Clicker"
Cookie Clicker Soundtrack,"4 Sep, 2021","Overall user reviews:
Positive
						(18 reviews)",Soundtrack
Cthulhu Clicker,Soon available,None,"Casual, Clicker, Lovecraftian, Idler, Zombies, Arcade, 2.5D, Dark Humor, Fantasy, Automation, Indie, Linear, Resource Management, Singleplayer, Blood, Cute"
Achievement Clicker 2019,"13 Apr, 2018","Overall user reviews:
Very Positive
						(431 reviews)","Indie, Simulation, Casual, Strategy, Adventure, Clicker"
Achievement Clicker 2018,"26 Jan, 2018","Overall user reviews:
Very Positive
						(441 reviews)","Strategy, Indie, Casual, Simulation, Clicker"
Lords Mobile,"2 Jun, 2019","Overall user reviews:
Mixed
						(4,124 reviews)","Massively Multiplayer, Free to Play, Strategy, Gore, Anime, RPG, War, Multiplayer, NSFW, Memes, LGBTQ+, Illuminati, RTS, Casual, Female Protagonist, MMORPG, Family Friendly, Dating Sim, Mature, World War II"
Beaver Clicker,Coming Soon!,None,"Clicker, Idler, Casual, Strategy, Indie, Collectathon, Management, Economy, Building, Grand Strategy, Automation, Funny, 2D, Resource Management, Colorful, Nature, Touch-Friendly, Controller, Singleplayer, Capitalism"
Hero Clicker,"22 Mar, 2022",None,"RPG, Roguelike, 2D, Fantasy, Choices Matter, Singleplayer, Early Access, Clicker, Roguelite, Colorful, Combat, Class-Based, Multiple Endings, PvE, Idler"
Rocket Clicker,Aug 2019,None,"Indie, Casual, Simulation, Adventure, Clicker"
Forbidden Clicker Party,"29 Jan, 2018","Overall user reviews:
Very Positive
						(55 reviews)","Casual, Clicker, Indie, Adventure, RPG, Strategy"
