None,None,None,
Sweet Transit,2022,None,"Early Access, City Builder, Strategy, Trains, Management, Simulation, Building, Economy, Resource Management, Procedural Generation, Moddable, Transportation, Level Editor, Sandbox, Realistic, Casual, Alternate History, Base Building, Singleplayer, Isometric"
Disco Elysium - The Final Cut,"15 Oct, 2019","Overall user reviews:
Very Positive
						(50,797 reviews)","RPG, Story Rich, Choices Matter, Detective, Isometric, Atmospheric, Singleplayer, CRPG, Noir, Point & Click, Surreal, Indie, Adventure, Open World, Exploration, Funny, Visual Novel, Character Customization, Sexual Content, Fantasy"
Home Sweet Home : Survive,"25 Mar, 2021","Overall user reviews:
Mixed
						(6,826 reviews)","Survival Horror, Action, Multiplayer, Horror, Survival, Online Co-Op, Co-op, Indie, Funny, PvP, Third Person, Gore, Violent, Early Access, Battle Royale, PvE, Strategy, Realistic, Atmospheric, Adventure"
Home Sweet Home,"26 Sep, 2017","Overall user reviews:
Very Positive
						(2,633 reviews)","Horror, Adventure, Indie, Multiplayer, Survival Horror, Singleplayer, VR, First-Person, Atmospheric, Psychological Horror, Gore, Puzzle, Story Rich, Walking Simulator, Dark, Action, Episodic, Dating Sim, Nudity, Stealth"
NEEDY STREAMER OVERLOAD,"21 Jan, 2022","Overall user reviews:
Overwhelmingly Positive
						(11,080 reviews)","Psychological Horror, Visual Novel, Anime, Cute, Pixel Graphics, Point & Click, 2D, Choose Your Own Adventure, Adventure, Sexual Content, Psychedelic, Psychological, Colorful, Dark Humor, Multiple Endings, Story Rich, Text-Based, Singleplayer, Conversation, Simulation"
Seed of the Dead: Sweet Home,"27 Aug, 2021","Overall user reviews:
Very Positive
						(1,856 reviews)","Sexual Content, Post-apocalyptic, Action, Shooter, Anime, FPS, Zombies, Visual Novel, Survival, 3D, Romance, Thriller, Horror, First-Person, NSFW, Building, Dark, Survival Horror, Cute, Dark Comedy"
Sweet Surrender VR,"30 Sep, 2021","Overall user reviews:
Very Positive
						(54 reviews)","Action Roguelike, FPS, Roguelite, Immersive Sim, Shooter, VR, Roguelike, First-Person, Post-apocalyptic, Action, Choices Matter, Multiple Endings, Stylized, Dystopian , Sci-fi, Tactical, Artificial Intelligence, Atmospheric, Combat, Singleplayer"
Sweet House,"20 Jul, 2021","Overall user reviews:
Very Positive
						(302 reviews)","Sexual Content, Mature, Hentai, JRPG, Visual Novel, Interactive Fiction, Multiple Endings, Clicker, Choices Matter, Dating Sim, Word Game, Cartoon, Cute, Colorful, Nudity, Funny, Romance, Indie, Conversation, Casual"
sweet pool,"19 Dec, 2018","Overall user reviews:
Very Positive
						(202 reviews)","Sexual Content, Adventure, Visual Novel, LGBTQ+, Gore, Violent, Horror, Story Rich, Anime, Psychological Horror, Great Soundtrack"
DRAGON QUEST BUILDERS™ 2,"10 Dec, 2019","Overall user reviews:
Very Positive
						(4,327 reviews)","RPG, Open World Survival Craft, Adventure, Action, Sandbox, Building, Crafting, Anime, JRPG, Cute, Third Person, Co-op, Multiplayer, Colorful, Open World, Voxel, Platformer, Singleplayer, Survival, Character Customization"
Sweet fantasy,"4 Apr, 2017","Overall user reviews:
Very Positive
						(342 reviews)","Sexual Content, Nudity, Casual, Indie, Visual Novel, Adventure, Anime, Female Protagonist, LGBTQ+, Romance, Short, Singleplayer, Fantasy, Mature, Cute"
Cyber Manhunt - Home Sweet Home,"26 Jul, 2021","Overall user reviews:
Very Positive
						(538 reviews)","RPG, Simulation, Indie, Immersive Sim, Investigation, Hacking, Detective, Drama, Crime, Narration, Puzzle, Story Rich, First-Person, 2D, Cyberpunk, Singleplayer"
Sweet Seasons,"11 Oct, 2018","Overall user reviews:
Positive
						(10 reviews)","Nudity, Sexual Content, Indie, Casual"
Love's Sweet Garnish,"7 Sep, 2018","Overall user reviews:
Overwhelmingly Positive
						(578 reviews)","Sexual Content, Visual Novel, Anime, Nudity, Cute, Casual, Indie, Dating Sim, Choices Matter, Multiple Endings, Singleplayer"
Sweet Thomas,"15 Jan, 2020","Overall user reviews:
Positive
						(12 reviews)","Casual, Action, Adventure"
TOGETHER BnB,"9 Apr, 2021","Overall user reviews:
Mixed
						(4,179 reviews)","Early Access, Dating Sim, Sexual Content, 3D, Simulation, Open World, Visual Novel, Adventure, Life Sim, FPS, Casual, Anime, Cute, RPG, Indie, Exploration, Walking Simulator, Beautiful, Realistic, First-Person"
Star Sweet,"11 Dec, 2017","Overall user reviews:
Mixed
						(33 reviews)","Casual, Indie, Match 3"
Sweet Lily Dreams,"16 May, 2014","Overall user reviews:
Positive
						(18 reviews)","RPG, Adventure, Indie, RPGMaker, Female Protagonist, Horror, JRPG, Singleplayer"
NEKO-MIMI SWEET HOUSEMATES Vol. 1,"8 Apr, 2022","Overall user reviews:
Very Positive
						(124 reviews)","Visual Novel, Anime, Cute, Casual, Comedy, Adventure, Drama, Romance, Colorful, Story Rich, Indie, Sexual Content, Text-Based, Hentai, Singleplayer, Relaxing"
Citrouille: Sweet Witches,"4 Nov, 2018","Overall user reviews:
Positive
						(29 reviews)","Indie, Co-op, Cartoony, Family Friendly, Platformer, Arcade, Female Protagonist, 2D, Retro, Cute, Action, Local Co-Op, Colorful, Anime, Difficult, Side Scroller, 4 Player Local, Cartoon, Classic, Funny"
Trove,"9 Jul, 2015","Overall user reviews:
Very Positive
						(86,214 reviews)","Free to Play, Open World, Multiplayer, Adventure, MMORPG, Massively Multiplayer, Building, Sandbox, RPG, Pixel Graphics, Action, Crafting, Third Person, Co-op, Exploration, Dungeon Crawler, Voxel, Casual, Funny, FPS"
Golf Gang,"19 May, 2022",None,"Mini Golf, PvP, Multiplayer, Racing, Arcade, Sports, Physics, Family Friendly, Combat Racing, Funny, Cute, Character Customization, Cartoony, Stylized, Colorful, Co-op, Action, Casual, Online Co-Op, Singleplayer"
Dangerous! TOO SWEET!!,"21 May, 2021","Overall user reviews:
Positive
						(29 reviews)","Anime, Visual Novel, LGBTQ+, Casual, Romance, Interactive Fiction, Singleplayer, Idler, Cute, Modern, Choose Your Own Adventure, Funny, Hand-drawn, Cartoony, Cartoon, Comedy, 2D, Indie"
Sweet Escape VR,"20 Apr, 2016","Overall user reviews:
Positive
						(39 reviews)","Racing, Massively Multiplayer, Indie, Casual, Simulation, Action, Adventure, Sports, VR, Multiplayer, Early Access, Competitive"
My Sweet Confession,"8 May, 2020","Overall user reviews:
Positive
						(12 reviews)","Choose Your Own Adventure, Dating Sim, Casual, Interactive Fiction, Visual Novel, Female Protagonist, Cute, LGBTQ+, Romance, Story Rich, Funny, Multiple Endings, Choices Matter, Anime, Colorful, Comedy, Drama, Singleplayer, Indie, Hand-drawn"
Sweet House Love,"13 Aug, 2020","Overall user reviews:
Mixed
						(22 reviews)","Casual, Dating Sim, Action, Simulation, Nudity, Sexual Content, Visual Novel, 3D, Cute, Indie, Singleplayer, Mature, Hentai, Anime, Puzzle, Match 3"
SweetHex: Celestial Encounters,Summer 2022,None,"Adventure, Point & Click, Anime, Visual Novel, Cute, Puzzle, Cartoon, Comedy, Comic Book, Demons, Indie, Romance, Supernatural, Story Rich, Singleplayer"
My Sweet Waifu,"7 Mar, 2018","Overall user reviews:
Mixed
						(27 reviews)","Simulation, Indie, Strategy, Early Access, Casual, Nudity, Action, Visual Novel, Mature, Anime, Sexual Content"
Sweet Volley High,"26 Oct, 2016","Overall user reviews:
Mixed
						(17 reviews)","Sexual Content, Nudity, Visual Novel, Indie, Casual, Adventure, Anime, LGBTQ+, Drama, Cute, Female Protagonist, Otome"
Love's Sweet Garnish 2,"2 Oct, 2020","Overall user reviews:
Very Positive
						(92 reviews)","Casual, Visual Novel, Anime, Cute, Text-Based, Multiple Endings, Singleplayer, Indie, Sexual Content"
LOST BUBBLES: Sweet mates,"12 Nov, 2021","Overall user reviews:
Mostly Positive
						(37 reviews)","Precision Platformer, 3D Platformer, Platformer, Action-Adventure, 3D, Action, Third Person, Casual, Controller, Realistic, Adventure, Atmospheric, Physics, Modern, Online Co-Op, Singleplayer, Multiplayer, Co-op, Indie"
Home Sweet Home EP2,"24 Sep, 2019","Overall user reviews:
Mostly Positive
						(728 reviews)","Indie, Action, Adventure, Horror, Gore, Violent, Survival Horror, First-Person"
Ultimate Chicken Horse,"4 Mar, 2016","Overall user reviews:
Overwhelmingly Positive
						(21,488 reviews)","Multiplayer, Funny, Platformer, Local Multiplayer, Level Editor, Precision Platformer, 4 Player Local, Casual, Competitive, Online Co-Op, Co-op, Family Friendly, 2D, Indie, Parkour, Cartoony, Action, 2D Platformer, Cute, Difficult"
Sweet Dreams Alex,2022,None,"Relaxing, Story Rich, Pixel Graphics, Cute, Female Protagonist, Strategy, 2D, Level Editor, Tower Defense, Character Customization, Casual, Indie, Atmospheric, Building, Family Friendly, Puzzle, Grid-Based Movement, Logic, Singleplayer, Colorful"
Sweet Solitaire: School Witch,"27 Apr, 2020","Overall user reviews:
Positive
						(11 reviews)","Casual, Card Game, Singleplayer, Indie, Adventure"
House Party,"30 Jun, 2017","Overall user reviews:
Very Positive
						(10,279 reviews)","Early Access, Mature, Life Sim, LGBTQ+, Choices Matter, Comedy, Sandbox, Adventure, Immersive Sim, Sexual Content, Singleplayer, Simulation, Multiple Endings, Story Rich, Funny, First-Person, Drama, Puzzle, Artificial Intelligence, Cinematic"
My Sweet Washing Machine!,"23 Oct, 2020","Overall user reviews:
Positive
						(16 reviews)","Sexual Content, Anime, NSFW, Adventure, Casual, Puzzle, 2D, Clicker, Indie, Colorful, Cute, Relaxing, Atmospheric, Singleplayer"
Corpse Party: Sweet Sachiko's Hysteric Birthday Bash,"10 Apr, 2019","Overall user reviews:
Very Positive
						(107 reviews)","Gore, Violent, Adventure, Sexual Content, Visual Novel, Anime, Horror, Comedy"
Delicious - Emily's Home Sweet Home,"15 Dec, 2016","Overall user reviews:
Very Positive
						(76 reviews)","Adventure, Casual, Indie, Time Management"
Devil May Cry 5 - Sweet Surrender,"7 Mar, 2019","Overall user reviews:
Positive
						(27 reviews)","Action, Nudity, Violent"
Shan Gui II: Sweet Osmanthus II,"15 Dec, 2018","Overall user reviews:
Very Positive
						(342 reviews)","Casual, Visual Novel, Female Protagonist, Comic Book, Anime, Realistic, Colorful, Fantasy, Atmospheric, Emotional, Drama, Adventure, Beautiful, Singleplayer, Indie, Great Soundtrack, Sequel, Foreign, Sexual Content"
Sweet Collector,"28 Jan, 2022","Overall user reviews:
3 user reviews","Puzzle, Relaxing, Funny, Cute, Cartoon, Colorful, Casual, Indie, Logic, Family Friendly, Strategy, Cooking, Atmospheric, Cartoony, 2D, Hand-drawn, Stylized, Clicker, Emotional, Singleplayer"
Sweet Halloween,"25 Sep, 2020","Overall user reviews:
8 user reviews","Casual, JRPG, Visual Novel, Shooter, RPG, Relaxing, Romance, Multiple Endings, Anime, Singleplayer, Early Access, Puzzle, Strategy, Indie, Sexual Content, Mature, NSFW, Nudity, Adventure, Cute"
Sweet Surge,"30 Mar, 2022",None,"Casual, Strategy, Auto Battler, Turn-Based Strategy, Tactical RPG, 3D, Cartoon, Isometric, Automation, Relaxing, Fantasy, Early Access, PvE, Turn-Based Tactics, Turn-Based Combat, Gun Customization, Singleplayer"
Sweet Pea,"19 Apr, 2021","Overall user reviews:
2 user reviews","Precision Platformer, Side Scroller, 2D Platformer, Runner, Souls-like, Parkour, Difficult, Platformer, Action-Adventure, Character Customization, 2D, Comic Book, Cute, Surreal, Bullet Time, Action, Cartoony, Colorful, Stylized, Magic"
Sweet Dream,"31 May, 2021",None,"Casual, Match 3, Singleplayer, Arcade, Cute, 2D, 3D, Cartoony, Colorful, Indie, Atmospheric, Magic, Score Attack, Grid-Based Movement, Logic, Puzzle Platformer"
SweetBed,"26 Mar, 2019","Overall user reviews:
5 user reviews","Sexual Content, Casual, Nudity, Indie, Action, RPG"
Sweet Hero,"29 Oct, 2021",None,"Controller, Difficult, Action, Cute, Casual, Grid-Based Movement, Tactical, Surreal, Top-Down, 2D, Combat, Colorful, Pixel Graphics, Singleplayer, Fast-Paced"
