1,Bitcoin,BTC,"$40,340.33",$766.98B
2,Ethereum,ETH,"$3,023.86",$364.05B
3,Tether,USDT,$1.00,$82.72B
4,BNB,BNB,$417.88,$69.00B
5,USD Coin,USDC,$1.00,$50.28B
5,USD Coin,USDC,$1.00,$50.28B
6,XRP,XRP,$0.7738,$37.25B
7,Solana,SOL,$101.60,$33.79B
8,Cardano,ADA,$0.9518,$32.13B
9,Terra,LUNA,$80.56,$28.98B
10,Avalanche,AVAX,$76.83,$20.61B
11,Dogecoin,DOGE,$0.15,
12,Polkadot,DOT,$18.12,
13,Binance USD,BUSD,$1.00,
14,TerraUSD,UST,$1.00,
15,Shiba Inu,SHIB,$0.00,
16,Wrapped Bitcoin,WBTC,$40358.80,
17,Polygon,MATIC,$1.39,
18,NEAR Protocol,NEAR,$15.79,
19,Cronos,CRO,$0.41,
20,Dai,DAI,$1.00,
21,Litecoin,LTC,$111.32,
22,Cosmos,ATOM,$24.09,
23,Uniswap,UNI,$9.69,
24,Chainlink,LINK,$13.94,
25,Bitcoin Cash,BCH,$337.35,
26,TRON,TRX,$0.06,
27,FTX Token,FTT,$42.47,
28,UNUS SED LEO,LEO,$5.79,
29,Stellar,XLM,$0.20,
30,Ethereum Classic,ETC,$37.10,
31,Algorand,ALGO,$0.73,
32,Monero,XMR,$236.96,
33,Decentraland,MANA,$2.13,
34,Hedera,HBAR,$0.20,
35,VeChain,VET,$0.06,
36,Internet Computer,ICP,$16.70,
37,Filecoin,FIL,$18.88,
38,ApeCoin,APE,$12.39,
39,Elrond,EGLD,$154.02,
40,The Sandbox,SAND,$2.79,
41,Theta Network,THETA,$3.02,
42,Fantom,FTM,$1.17,
43,Axie Infinity,AXS,$47.53,
44,Tezos,XTZ,$3.16,
45,Klaytn,KLAY,$1.00,
46,THORChain,RUNE,$8.41,
47,Waves,WAVES,$22.16,
48,EOS,EOS,$2.41,
49,Aave,AAVE,$173.62,
50,Helium,HNT,$20.45,
51,PancakeSwap,CAKE,$8.13,
52,Flow,FLOW,$5.80,
53,Zcash,ZEC,$146.36,
54,Maker,MKR,$1967.04,
55,IOTA,MIOTA,$0.67,
56,BitTorrent-New,BTT,$0.00,
57,eCash,XEC,$0.00,
58,The Graph,GRT,$0.37,
59,Convex Finance,CVX,$28.41,
60,Bitcoin SV,BSV,$85.25,
61,KuCoin Token,KCS,$19.84,
62,Stacks,STX,$1.18,
63,Neo,NEO,$21.04,
64,Huobi Token,HT,$9.49,
65,Harmony,ONE,$0.12,
66,Chiliz,CHZ,$0.24,
67,Kusama,KSM,$165.30,
68,Gala,GALA,$0.20,
69,Zilliqa,ZIL,$0.11,
70,TrueUSD,TUSD,$1.00,
71,Quant,QNT,$112.27,
72,STEPN,GMT,$2.26,
73,Celo,CELO,$3.11,
74,Nexo,NEXO,$2.40,
75,Enjin Coin,ENJ,$1.50,
76,OKB,OKB,$20.19,
77,Loopring,LRC,$0.89,
78,Dash,DASH,$108.78,
79,Basic Attention Token,BAT,$0.72,
80,Mina,MINA,$2.29,
81,Curve DAO Token,CRV,$2.21,
82,Arweave,AR,$30.07,
83,Neutrino USD,USDN,$0.99,
84,Kadena,KDA,$5.57,
85,Amp,AMP,$0.02,
86,Compound,COMP,$141.62,
87,Pax Dollar,USDP,$1.00,
88,Moonbeam,GLMR,$4.03,
89,NEM,XEM,$0.10,
90,Theta Fuel,TFUEL,$0.17,
91,Holo,HOT,$0.00,
92,Kyber Network Crystal v2,KNC,$4.58,
93,Oasis Network,ROSE,$0.23,
94,Secret,SCRT,$4.93,
95,Audius,AUDIO,$1.27,
96,Decred,DCR,$55.55,
97,Kava,KAVA,$4.24,
98,Anchor Protocol,ANC,$2.11,
99,BORA,BORA,$0.83,
100,ICON,ICX,$0.77,
