Сияющая долина (1 сезон),https://kinokrad.co/362649-siyayushaya-dolina-1-sezon.html,Год: 2022,"Жанр: ужасы, фэнтези, комедия","Режиссер: Алетеа Джонс, Катриона МакКензи, Дирбла Уолш",Длительность: 29 мин
Лунный рыцарь (1 сезон),https://kinokrad.co/362697-lunniy-ricar.html,Год: 2022,"Жанр: ужасы, фантастика, фэнтези, боевик, драма, приключения","Режиссер: Джастин Бенсон, Мохамед Диаб, Аарон Мурхед",Длительность: 45 мин.
Доктор Стрэндж: В мультивселенной безумия,https://kinokrad.co/362699-doctor-streng-v-multivselennoy-bezumiya.html,Год: 2022,"Жанр: ужасы, фантастика, фэнтези, боевик, приключения",Режиссер: Сэм Рэйми,Длительность: 126 мин.
З/Л/О 94,https://kinokrad.co/358511-zlo-94.html,Год: 2021,"Жанр: ужасы, боевик","Режиссер: Саймон Баррет, Стивен Костански, Хлоя Окуно",Длительность: 100 мин.
Извне (1 сезон),https://kinokrad.co/361301-izvne-1-sezon.html,Год: 2022,"Жанр: ужасы, фантастика, триллер, драма, детектив","Режиссер: Джек Бендер, Дженнифер Лиао, Джефф Ренфро",Длительность: 55 мин.
Бабушка,https://kinokrad.co/361412-babushka.html,Год: 2022,Жанр: ужасы,Режиссер: Пако Пласа,Длительность: 100 мин.
Наследие (4 сезон),https://kinokrad.co/358742-nasledie-4-sezon.html,Год: 2021,"Жанр: фэнтези, драма, детектив, приключения, ужасы","Режиссер: Джеффри Дж. Хант, Lauren Petzke, Майк Карасик",Длительность: 45 мин
Последнее пришествие дьявола,https://kinokrad.co/360878-poslednee-prishestvie-dyavola.html,Год: 2022,"Жанр: ужасы, драма",Режиссер: Алехандро Идальго,Длительность: 98 мин.
Близнец,https://kinokrad.co/362543-bliznec.html,Год: 2022,Жанр: ужасы,Режиссер: Танели Мустонен,Длительность: 105 мин.
Проклятие плачущей: Безвременье,https://kinokrad.co/355409-proklyatie-plachuschey-bezvremene-2021.html,Год: 2022,"Жанр: ужасы, триллер, детектив","Режиссер: Эндрю Мечэм, Мэттью Уэдон",Длительность: 92 мин.
Ходячие мертвецы (11 сезон),https://kinokrad.co/357164-hodiachie-mertveci-11-sezon-2021.html,Год: 2021,"Жанр: ужасы, триллер, драма","Режиссер: Грег Никотеро, Майкл Е. Сатраземис, Дэвид Бойд",Длительность: 43 мин.
Морбиус,https://kinokrad.co/340505-morbius-2022-03.html,Год: 2022,"Жанр: ужасы, фантастика, боевик, триллер, фэнтези",Режиссер: Даниэль Эспиноса,Длительность: 98 мин.
Сияющая долина (1 сезон),https://kinokrad.co/362649-siyayushaya-dolina-1-sezon.html,Год: 2022,"Жанр: ужасы, фэнтези, комедия","Режиссер: Алетеа Джонс, Катриона МакКензи, Дирбла Уолш",Длительность: 29 мин
