mail.ru,mail.ru/,Почта Mail.Ru,7501823,78
kp,kp.ru,Комсомольская правда-Digital,3518193,77
RS_Total/Riaru_Total,ria.ru,РИА Новости: главные новости часа,3289490,85
Lenta,lenta.ru,Lenta.Ru,3057385,88
hsdigital,www.hsdigital.ru/,Shkulev Media Holding,2903439,79
ura.ru,ura.ru/,URA.Ru - Российское информационное агентство,2163295,87
mic_izvestia,iz.ru,Известия,2061878,86
RBCRU,www.rbc.ru,"РБК - РосБизнесКонсалтинг - новости, курсы валют, погода",1911799,87
mk,www.mk.ru,МОСКОВСКИЙ КОМСОМОЛЕЦ,1695549,73
gazeta_all,www.gazeta.ru/,Газета.Ru: Главные новости и подробности текущих событий,1576068,88
vz.ru,vz.ru/,ВЗГЛЯД.РУ,1567296,80
hsdigital/rn/smi,mediakit.iportal.ru,Сеть городских порталов Shkulev Media Holding,1528494,88
kommersant.ru,www.kommersant.ru/,&quot;Коммерсантъ&quot;. Издательский дом,1368475,84
NovostnoyAgregatorSMI2,smi2.ru,Новостной агрегатор СМИ2,1336021,82
primpress.ru,primpress.ru/,PRIMPRESS.RU,1280934,93
hsdigital/wn,hearst-shkulev-media.ru,Women's Network Shkulev Media Holding,1191579,69
otvet.mail.ru,otvet.mail.ru/,Ответы Mail.Ru,1184878,80
drom,www.drom.ru,Дром - цены на машины,1124369,89
russian.rt.com,russian.rt.com/,RT на русском,1097528,85
go.mail.ru,go.mail.ru/,Поиск Mail.Ru,1073407,80
news.rambler.ru,news.rambler.ru/,Рамблер/медиа - главные новости и cобытия в России и мире,1023084,83
Forvard_Media,eg.ru,Сеть сайтов Форвард Медиа,1021912,76
TASS_total,tass.ru,ТАСС - Новости в России и мире,990521,85
bazr.ru,bazr.ru/,BAZR.ru - Смотреть бесплатно русские сериалы,984739,91
2gis,www.2gis.ru,Карта онлайн со справочником организаций — 2ГИС,975718,81
HeadHunter,hh.ru/,HeadHunter Group - Online Hiring Services,908155,80
eg.ru,www.eg.ru/,"ЭКСПРЕСС газета - новости, аналитика, истории",863025,76
Cinemaentertainment,cinemaentertainment.ru,Cinemaentertainment,858017,73
teleprogramma.pro,teleprogramma.pro/,Teleprogramma.pro: телегид и шоу-бизнес,837672,66
rutube.ru,www.rutube.ru/,Rutube - лучшее видео:),819124,81
mail.ru,mail.ru/,Почта Mail.Ru,7501823,78
kp,kp.ru,Комсомольская правда-Digital,3518193,77
RS_Total/Riaru_Total,ria.ru,РИА Новости: главные новости часа,3289490,85
Lenta,lenta.ru,Lenta.Ru,3057385,88
hsdigital,www.hsdigital.ru/,Shkulev Media Holding,2903439,79
ura.ru,ura.ru/,URA.Ru - Российское информационное агентство,2163295,87
mic_izvestia,iz.ru,Известия,2061878,86
RBCRU,www.rbc.ru,"РБК - РосБизнесКонсалтинг - новости, курсы валют, погода",1911799,87
mk,www.mk.ru,МОСКОВСКИЙ КОМСОМОЛЕЦ,1695549,73
gazeta_all,www.gazeta.ru/,Газета.Ru: Главные новости и подробности текущих событий,1576068,88
vz.ru,vz.ru/,ВЗГЛЯД.РУ,1567296,80
hsdigital/rn/smi,mediakit.iportal.ru,Сеть городских порталов Shkulev Media Holding,1528494,88
kommersant.ru,www.kommersant.ru/,&quot;Коммерсантъ&quot;. Издательский дом,1368475,84
NovostnoyAgregatorSMI2,smi2.ru,Новостной агрегатор СМИ2,1336021,82
primpress.ru,primpress.ru/,PRIMPRESS.RU,1280934,93
hsdigital/wn,hearst-shkulev-media.ru,Women's Network Shkulev Media Holding,1191579,69
otvet.mail.ru,otvet.mail.ru/,Ответы Mail.Ru,1184878,80
drom,www.drom.ru,Дром - цены на машины,1124369,89
russian.rt.com,russian.rt.com/,RT на русском,1097528,85
go.mail.ru,go.mail.ru/,Поиск Mail.Ru,1073407,80
news.rambler.ru,news.rambler.ru/,Рамблер/медиа - главные новости и cобытия в России и мире,1023084,83
Forvard_Media,eg.ru,Сеть сайтов Форвард Медиа,1021912,76
TASS_total,tass.ru,ТАСС - Новости в России и мире,990521,85
bazr.ru,bazr.ru/,BAZR.ru - Смотреть бесплатно русские сериалы,984739,91
2gis,www.2gis.ru,Карта онлайн со справочником организаций — 2ГИС,975718,81
HeadHunter,hh.ru/,HeadHunter Group - Online Hiring Services,908155,80
eg.ru,www.eg.ru/,"ЭКСПРЕСС газета - новости, аналитика, истории",863025,76
Cinemaentertainment,cinemaentertainment.ru,Cinemaentertainment,858017,73
teleprogramma.pro,teleprogramma.pro/,Teleprogramma.pro: телегид и шоу-бизнес,837672,66
rutube.ru,www.rutube.ru/,Rutube - лучшее видео:),819124,81
blitz.plus,blitz.plus/,BLITZ+,803886,62
day.ru,day.ru/,Интернет-журнал «Day.ru»‎,787428,71
tsargradtv,tsargrad.tv/,Телеканал &quot;Царьград&quot; - Первый Русский,784995,90
championat_com,championat.com,Чемпионат: ведущий сайт о спорте,778818,71
regnum.ru,regnum.ru/,ИА REGNUM,777995,85
action,www.glavbukh.ru/,"&lt;Актион-МЦФЭР&gt; — издания для директоров, руководителей, главбухов",710131,90
Levsha,levsha.digital,Медиахолдинг Levsha Digital,674368,92
kp/radiokpru,radiokp.ru,Радио &quot;Комсомольская правда&quot;,649717,76
AIF,www.aif.ru,"Аргументы и Факты //  Объясняем, что происходит",641676,85
topwar.ru,topwar.ru/,Военное обозрение,629504,87
rg.ru,rg.ru/,Российская Газета: издание Правительства РФ,616079,88
kp/kpall/kpmsk,msk.kp.ru,MSK.KP.RU: главные новости Москвы,541150,94
rugion,rugion.ru/,Сеть региональных сайтов &quot;Ругион&quot;,535022,88
starhit.ru,starhit.ru/,Starhit.ru – Новости шоу-бизнеса,502702,73
dni.ru,dni.ru/,ДНИ ру - интернет-газета,495031,74
inosmi.ru,inosmi.ru/,ИноСМИ,487300,76
kinoafisha.info,www.kinoafisha.info/,Киноафиша.info - афиша кинотеатров,445877,74
mail-my,my.mail.ru/,Мой Мир Mail.Ru,428005,73
osnmedia.ru,www.osnmedia.ru/,Общественная служба новостей,413530,92
CIAN,www.cian.ru/,ЦИАН ГРУПП - Лидер онлайн недвижимости России,409232,91
riafan.ru,riafan.ru/,Федеральное агентство новостей,401251,86
ren.tv,ren.tv/,Новости - наше призвание. РЕН ТВ,395806,84
tk_m24,www.m24.ru/,Сетевое издание M24.ru,395010,78
sportkpunited,sportkp.ru,SportKP,373153,83
baza.drom.ru,baza.drom.ru/,Объединенная база запчастей,365999,89
e1_ru,e1.ru,E1.RU — Екатеринбург Он-Лайн,364060,87
smi.today/ru_smi,www.smi.today/ru_smi/,Новости России. Новостной агрегатор smi.today,347708,93
russianfood.com,www.russianfood.com/,Рецепты кулинарных блюд от RussianFood.com,342738,78
rusprofile.ru,rusprofile.ru/,Rusprofile.ru - бесплатная проверка контрагента,323572,91
hsdigital/rn/smi/66,e1.ru,Е1.RU - Екатеринбург онлайн. Shkulev Digital,320468,88
1Mediainvest,1mediainvest.ru/,1MI - федеральный медиахолдинг,313241,92
Sportbox,www.sportbox.ru,Sportbox.ru,309271,82
sport-express.ru,sport-express.ru/,СПОРТ-ЭКСПРЕСС,306980,78
fontanka.ru,fontanka.ru/,Фонтанка.Ру - новости Петербурга,289021,85
kino-teatr.ru,www.kino-teatr.ru/,"Кино-Театр.РУ - интервью, статьи, премьеры, новости кино и театра",282511,70
gazeta.ru/politics,gazeta.ru/politics/,Газета.Ru: Политика,274242,88
woman.ru,www.woman.ru/,"Woman.ru - интернет для женщин: звезды, мода, красота, мы и мужчины",268655,72
